#;Código;País;Partida;Descripción;Peso Neto Kg.;Valor FOB USD.;fechaInicio;fechaFinal
1;GB;Reino Unido;2711110000;GAS NATURAL, LICUADO;1238597726;1096459621;01/01/2022;30/09/2022
2;DE;Alemania;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;114858927;329624169.2;01/01/2022;30/09/2022
3;ES;España;2608000090;CONCENTRADOS DE CINC EXCEPTO DE BAJA LEY;222132275;275333168;01/01/2022;30/09/2022
4;NL;Países Bajos (Holanda);804400000;AGUACATES (PALTAS) , FRESCAS O SECAS;189015980.1;261025504.4;01/01/2022;30/09/2022
5;DE;Alemania;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;36722694.3;190373243.3;01/01/2022;30/09/2022
6;IT;Italia;7403110000;CÁTODOS Y SECCIONES DE CÁTODOS DE COBRE REFINADO;20562119;182649765.6;01/01/2022;30/09/2022
7;NL;Países Bajos (Holanda);810400000;ARÁNDANOS ROJOS, MIRTILOS Y DEMÁS FRUTOS DEL GÉNERO VACCINIUM, FRESCOS;30699771.56;148354606.2;01/01/2022;30/09/2022
8;ES;España;2711110000;GAS NATURAL, LICUADO;137001099;147924714.7;01/01/2022;30/09/2022
9;ES;España;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;84819112;145131680.8;01/01/2022;30/09/2022
10;ES;España;804400000;AGUACATES (PALTAS) , FRESCAS O SECAS;97538259.92;130302381;01/01/2022;30/09/2022
11;GB;Reino Unido;7108120000;ORO EN LAS DEMÁS FORMAS EN BRUTO;2613.38;126343692.5;01/01/2022;30/09/2022
12;BG;Bulgaria;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;51225070;114358982.2;01/01/2022;30/09/2022
13;BE;Bélgica;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;21373595.74;111241368.6;01/01/2022;30/09/2022
14;DE;Alemania;2301201100;HARINA DE PESCADO CON UN CONTENIDO DE GRASA SUPERIOR A 2% EN PESO;58258000;97254528.64;01/01/2022;30/09/2022
15;NL;Países Bajos (Holanda);2207100000;ALCOHOL ETÍLICO SIN DESNATURALIZAR CON GRADO ALCOHÓLICO VOLUMÉTRICO >=80% VOLUMEN;75626464;94252929.15;01/01/2022;30/09/2022
16;ES;España;307430000;"JIBIAS (SEPIAS)* Y GLOBITOS; CALAMARES Y POTAS CONGELADOS";36663514.05;93662807.71;01/01/2022;30/09/2022
17;NL;Países Bajos (Holanda);8001100000;ESTAÑO EN BRUTO, SIN ALEAR;2750067.2;90006941.86;01/01/2022;30/09/2022
18;BE;Bélgica;7901120000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC INFERIOR AL 99,99% EN PESO;21335645;79179634.15;01/01/2022;30/09/2022
19;NL;Países Bajos (Holanda);804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;71807265.3;74914243.5;01/01/2022;30/09/2022
20;IT;Italia;2607000000;MINERALES DE PLOMO Y SUS CONCENTRADOS.;18394279;62701363.92;01/01/2022;30/09/2022
21;GB;Reino Unido;804400000;AGUACATES (PALTAS) , FRESCAS O SECAS;35959851.42;60127376.74;01/01/2022;30/09/2022
22;ES;España;8001100000;ESTAÑO EN BRUTO, SIN ALEAR;1878523.2;58177859.48;01/01/2022;30/09/2022
23;BE;Bélgica;2608000090;CONCENTRADOS DE CINC EXCEPTO DE BAJA LEY;46093701;51074176.43;01/01/2022;30/09/2022
24;NL;Países Bajos (Holanda);806100000;UVAS FRESCAS;26654514.7;48213014.38;01/01/2022;30/09/2022
25;NL;Países Bajos (Holanda);2613900000;MINERALES DE MOLIBDENO Y SUS CONCENTRADOS, SIN TOSTAR;2461146.81;47550305.1;01/01/2022;30/09/2022
26;DE;Alemania;2608000090;CONCENTRADOS DE CINC EXCEPTO DE BAJA LEY;38055086;46783911.45;01/01/2022;30/09/2022
27;NL;Países Bajos (Holanda);810909000;LOS DEMÁS FRUTAS U OTROS FRUTOS FRESCOS;30190788.8;44539497.77;01/01/2022;30/09/2022
28;FI;Finlandia;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;22154228;42124981.26;01/01/2022;30/09/2022
29;ES;España;307229000;VOLANDEIRAS Y DEMÁS MOLUSCOS DE LOS GÉNEROS PECTEN, CHLAMYS O PLACOPECTEN (CONCHAS DE ABANICO), CONGELADOS;3092215.18;39896068.53;01/01/2022;30/09/2022
30;SE;Suecia;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;7734199.79;38910495.53;01/01/2022;30/09/2022
31;DK;Dinamarca;1504201000;GRASAS Y ACEITES DE PESCADO Y SUS FRACCIONES EXCEPTO ACEITE DE HÍGADO EN BRUTO;11046595;38117728.13;01/01/2022;30/09/2022
32;GB;Reino Unido;810400000;ARÁNDANOS ROJOS, MIRTILOS Y DEMÁS FRUTOS DEL GÉNERO VACCINIUM, FRESCOS;7002352.87;38020227.87;01/01/2022;30/09/2022
33;ES;España;2710191510;CARBURORREACTORES TIPO QUEROSENO PARA REACTORES Y TURBINAS DESTINADO A LAS EMPRESAS DE AVIACIÓN;29289270.57;35622592.41;01/01/2022;30/09/2022
34;DE;Alemania;7901120000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC INFERIOR AL 99,99% EN PESO;9019535;33416049.33;01/01/2022;30/09/2022
35;FR;Francia;7108120000;ORO EN LAS DEMÁS FORMAS EN BRUTO;632.29;33197037.45;01/01/2022;30/09/2022
36;NL;Países Bajos (Holanda);1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;12380548.76;31873096.83;01/01/2022;30/09/2022
37;GB;Reino Unido;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;6039781.44;31862748.31;01/01/2022;30/09/2022
38;NL;Países Bajos (Holanda);2710191510;CARBURORREACTORES TIPO QUEROSENO PARA REACTORES Y TURBINAS DESTINADO A LAS EMPRESAS DE AVIACIÓN;25068171.89;31234452.15;01/01/2022;30/09/2022
39;ES;España;2005993110;-  PIMIENTO PIQUILLO;14607412.12;30170100.63;01/01/2022;30/09/2022
40;IT;Italia;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;5698574.72;29506848.17;01/01/2022;30/09/2022
41;BE;Bélgica;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;7846955.62;28494245.32;01/01/2022;30/09/2022
42;GB;Reino Unido;8001100000;ESTAÑO EN BRUTO, SIN ALEAR;800029.6;28073105.36;01/01/2022;30/09/2022
43;IT;Italia;5105391000;PELO FINO CARDADO O PEINADO DE ALPACA O DE LLAMA;1534175.61;27731558.27;01/01/2022;30/09/2022
44;NL;Países Bajos (Holanda);803901100;BANANAS FRESCAS TIPO «CAVENDISH VALERY»;37812205.8;26881305.7;01/01/2022;30/09/2022
45;FR;Francia;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;5238424.63;26200646.5;01/01/2022;30/09/2022
46;NL;Países Bajos (Holanda);709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;6276536.43;26125963.05;01/01/2022;30/09/2022
47;BE;Bélgica;1504201000;GRASAS Y ACEITES DE PESCADO Y SUS FRACCIONES EXCEPTO ACEITE DE HÍGADO EN BRUTO;7360300;25612294.9;01/01/2022;30/09/2022
48;ES;España;2005600000;ESPÁRRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR;8160400;25598092.83;01/01/2022;30/09/2022
49;NL;Países Bajos (Holanda);2009892000;JUGO DE MARACUYÁ (PARCHITA) (PASSIFLORA EDULIS);7627782.92;25209947.61;01/01/2022;30/09/2022
50;NL;Países Bajos (Holanda);1504201000;GRASAS Y ACEITES DE PESCADO Y SUS FRACCIONES EXCEPTO ACEITE DE HÍGADO EN BRUTO;6810510;24963571.7;01/01/2022;30/09/2022
51;NL;Países Bajos (Holanda);901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;4507858.7;24744482.73;01/01/2022;30/09/2022
52;PL;Polonia;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;9987970;24507601.2;01/01/2022;30/09/2022
53;SE;Suecia;2603000000;MINERALES DE COBRE Y SUS CONCENTRADOS;10012621;23164478.06;01/01/2022;30/09/2022
54;ES;España;7403110000;CÁTODOS Y SECCIONES DE CÁTODOS DE COBRE REFINADO;2299356.15;22361077.24;01/01/2022;30/09/2022
55;LV;Letonia;2607000000;MINERALES DE PLOMO Y SUS CONCENTRADOS.;2308736;22333911.06;01/01/2022;30/09/2022
56;GB;Reino Unido;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;5071343.66;21948388.72;01/01/2022;30/09/2022
57;ES;España;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;6759426.16;20367099.7;01/01/2022;30/09/2022
58;IT;Italia;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;4733312.54;18976984.23;01/01/2022;30/09/2022
59;BE;Bélgica;2607000000;MINERALES DE PLOMO Y SUS CONCENTRADOS.;5196719;18784580.17;01/01/2022;30/09/2022
60;IT;Italia;307430000;"JIBIAS (SEPIAS)* Y GLOBITOS; CALAMARES Y POTAS CONGELADOS";9169150.1;18129782.93;01/01/2022;30/09/2022
61;ES;España;2005991000;ALCACHOFAS (ALCAUCILES);6209565.82;17093035.09;01/01/2022;30/09/2022
62;FR;Francia;2710191510;CARBURORREACTORES TIPO QUEROSENO PARA REACTORES Y TURBINAS DESTINADO A LAS EMPRESAS DE AVIACIÓN;13627686.59;16625841.34;01/01/2022;30/09/2022
63;NL;Países Bajos (Holanda);1209919000;DEMÁS SEMILLAS DE HORTALIZAS;26716.2;16599324.66;01/01/2022;30/09/2022
64;FR;Francia;307229000;VOLANDEIRAS Y DEMÁS MOLUSCOS DE LOS GÉNEROS PECTEN, CHLAMYS O PLACOPECTEN (CONCHAS DE ABANICO), CONGELADOS;1018046.92;16276104.03;01/01/2022;30/09/2022
65;ES;España;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;9000922.5;15353657;01/01/2022;30/09/2022
66;GB;Reino Unido;2817001000;ÓXIDO DE CINC (BLANCO O FLOR DE CINC);4348250;15131247.23;01/01/2022;30/09/2022
67;FR;Francia;1504201000;GRASAS Y ACEITES DE PESCADO Y SUS FRACCIONES EXCEPTO ACEITE DE HÍGADO EN BRUTO;4310670;14625593.1;01/01/2022;30/09/2022
68;FR;Francia;2005600000;ESPÁRRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR;3483315.25;14484507.16;01/01/2022;30/09/2022
69;ES;España;806100000;UVAS FRESCAS;6437379.6;14124667.72;01/01/2022;30/09/2022
70;FR;Francia;7905000011;LAMINADOS PLANOS DE CINC DE ESPESOR INFERIOR O IGUAL A 0,65 MM;3161247;14026948.15;01/01/2022;30/09/2022
71;BG;Bulgaria;2608000090;CONCENTRADOS DE CINC EXCEPTO DE BAJA LEY;9181762;13552790.58;01/01/2022;30/09/2022
72;FR;Francia;2701110000;ANTRACITAS;35261306;13320297.57;01/01/2022;30/09/2022
73;BE;Bélgica;2701110000;ANTRACITAS;35758113;13156059.06;01/01/2022;30/09/2022
74;GB;Reino Unido;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;4301924.78;12910880.37;01/01/2022;30/09/2022
75;DK;Dinamarca;3205000000;"LACAS COLORANTES; PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAPÍTULO A BASE DE LACAS COLORANTES";144085.1;12823859.41;01/01/2022;30/09/2022
76;NL;Países Bajos (Holanda);1511100000;ACEITE DE PALMA EN BRUTO;9649390;12673826.41;01/01/2022;30/09/2022
77;DE;Alemania;8001100000;ESTAÑO EN BRUTO, SIN ALEAR;349939.6;12648679.91;01/01/2022;30/09/2022
78;ES;España;1511100000;ACEITE DE PALMA EN BRUTO;9492000;12141786.72;01/01/2022;30/09/2022
79;NL;Países Bajos (Holanda);2701110000;ANTRACITAS;66032776;11866983.25;01/01/2022;30/09/2022
80;GB;Reino Unido;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;11197425.02;11685370.77;01/01/2022;30/09/2022
