Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa;
     Descuentos;11.00;12.50;9.42;-;5.27;9.56;-;9.90;-;-;-;12.08;-;-;9.19;-;-;-;01/06/2023;Corporativos;
     Préstamos hasta 30 días;9.24;-;8.69;9.55;9.28;8.67;-;10.00;-;8.92;-;13.25;-;-;-;s.i.;s.i.;10.50;01/06/2023;Corporativos;
     Préstamos de 31 a 90 días;10.21;-;9.03;10.37;9.60;8.83;-;9.39;-;9.48;-;11.68;-;-;10.26;-;-;11.50;01/06/2023;Corporativos;
     Préstamos de 91 a 180 días;9.65;-;9.41;-;9.63;9.62;11.62;9.91;-;-;-;12.44;-;-;8.35;s.i.;s.i.;11.50;01/06/2023;Corporativos;
     Préstamos de 181 a 360 días;8.71;-;8.81;-;10.82;8.58;-;8.62;-;-;-;-;-;-;-;-;-;9.20;01/06/2023;Corporativos;
     Préstamos a más de 360 días;8.89;-;8.74;-;10.50;8.53;-;8.79;-;-;-;13.20;-;-;-;s.i.;s.i.;-;01/06/2023;Corporativos;
     Descuentos;12.93;14.69;10.92;11.48;10.60;9.90;-;11.46;-;10.93;-;13.38;-;-;-;s.i.;s.i.;-;01/06/2023;Grandes Empresas;
     Préstamos hasta 30 días;11.82;12.67;11.32;11.67;10.17;11.48;8.90;10.72;-;9.87;-;-;-;-;-;-;-;-;01/06/2023;Grandes Empresas;
     Préstamos de 31 a 90 días;10.78;-;11.17;11.04;9.85;9.92;-;10.67;-;9.87;-;13.31;-;-;8.96;s.i.;s.i.;-;01/06/2023;Grandes Empresas;
     Préstamos de 91 a 180 días;11.09;-;10.51;11.42;11.14;10.65;11.62;10.54;-;10.28;-;13.42;-;-;9.60;-;-;-;01/06/2023;Grandes Empresas;
     Préstamos de 181 a 360 días;10.07;-;9.51;-;9.95;9.53;-;10.25;-;-;-;14.73;-;-;-;s.i.;s.i.;-;01/06/2023;Grandes Empresas;
     Préstamos a más de 360 días;10.75;-;9.14;-;10.40;11.57;-;11.40;-;10.50;-;-;-;-;-;-;-;-;01/06/2023;Grandes Empresas;
     Descuentos;15.12;18.13;14.32;13.27;12.72;12.74;-;12.17;-;-;-;13.33;-;-;-;-;-;-;01/06/2023;Medianas Empresas;
     Préstamos hasta 30 días;16.37;13.66;15.45;11.15;12.77;14.16;-;14.38;57.17;-;-;-;-;-;-;s.i.;s.i.;-;01/06/2023;Medianas Empresas;
