Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Promedio;Tipo de Empresa
     Descuentos;7.68;-;7.71;9.35;6.46;7.25;-;6.35;-;-;-;10.98;-;-;-;-;-;-;7.86;Corporativos
     Préstamos hasta 30 días;6.72;7.50;6.20;8.00;8.23;5.96;-;-;-;5.12;-;8.88;-;-;7.40;s.i.;s.i.;-;6.31;Corporativos
     Préstamos de 31 a 90 días;7.73;-;7.30;7.90;-;6.85;-;9.53;-;6.30;-;9.07;-;-;7.59;-;-;-;7.71;Corporativos
     Préstamos de 91 a 180 días;6.27;7.75;6.93;-;8.11;6.52;-;7.08;-;-;-;9.63;-;-;8.03;s.i.;s.i.;-;7.24;Corporativos
     Préstamos de 181 a 360 días;5.70;-;6.39;-;-;6.28;6.26;-;-;-;-;11.39;-;-;-;-;-;-;6.36;Corporativos
     Préstamos a más de 360 días;6.07;-;6.63;-;6.48;6.42;-;-;-;-;-;-;-;-;8.76;s.i.;s.i.;-;6.65;Corporativos
     Descuentos;9.60;10.50;8.54;8.46;9.82;7.27;-;8.16;-;7.80;-;11.14;-;-;-;s.i.;s.i.;-;8.65;Grandes Empresas
     Préstamos hasta 30 días;7.01;8.00;8.28;7.27;7.50;6.06;8.86;7.51;-;-;-;8.76;-;-;-;-;-;-;8.24;Grandes Empresas
     Préstamos de 31 a 90 días;8.37;7.98;8.49;9.18;10.26;7.31;-;8.31;-;9.54;-;8.54;-;-;-;s.i.;s.i.;8.00;8.45;Grandes Empresas
     Préstamos de 91 a 180 días;7.61;9.94;8.10;10.43;10.34;7.50;-;8.46;-;7.12;-;10.48;-;-;12.79;-;-;-;8.38;Grandes Empresas
     Préstamos de 181 a 360 días;7.67;-;8.00;10.91;12.36;6.96;-;8.83;-;11.20;-;11.49;-;-;-;s.i.;s.i.;-;8.44;Grandes Empresas
     Préstamos a más de 360 días;7.34;-;7.55;9.10;6.86;7.12;-;7.34;-;-;-;6.80;-;-;-;-;-;7.69;7.35;Grandes Empresas
     Descuentos;11.86;8.57;11.75;9.19;12.76;10.00;-;9.21;-;-;-;11.70;-;-;-;-;-;-;11.17;Medianas Empresas
     Préstamos hasta 30 días;9.50;-;10.56;7.30;9.01;10.15;-;7.31;-;-;-;9.12;-;-;-;s.i.;s.i.;-;9.59;Medianas Empresas
     Préstamos de 31 a 90 días;10.35;10.71;9.75;8.54;11.58;9.91;-;8.50;-;-;-;9.16;-;-;-;-;-;-;9.75;Medianas Empresas
