Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;Bank of China;BCI;Fecha;Tipo de Empresa
     Descuentos;10.69;-;9.95;12.21;7.21;9.64;-;10.28;-;-;-;12.42;-;-;-;-;-;-;03/04/2023;Corporativos
     Préstamos hasta 30 días;8.43;-;8.86;10.35;8.64;8.60;-;8.77;-;-;-;13.58;-;-;-;s.i.;s.i.;-;03/04/2023;Corporativos
     Préstamos de 31 a 90 días;10.11;-;9.75;9.81;9.28;9.53;-;10.25;-;9.75;-;10.63;-;-;10.07;-;-;11.50;03/04/2023;Corporativos
     Préstamos de 91 a 180 días;8.79;238.67;10.07;11.59;10.72;10.05;-;10.31;-;-;-;13.53;-;-;13.08;s.i.;s.i.;-;03/04/2023;Corporativos
     Préstamos de 181 a 360 días;9.18;-;8.73;10.90;10.75;8.55;-;8.80;-;-;-;13.84;-;-;-;-;-;-;03/04/2023;Corporativos
     Préstamos a más de 360 días;8.57;-;9.02;-;10.40;9.75;-;9.06;-;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Corporativos
     Descuentos;13.65;12.75;11.17;12.30;10.34;9.93;-;11.86;-;10.98;-;13.89;-;-;-;s.i.;s.i.;-;03/04/2023;Grandes Empresas
     Préstamos hasta 30 días;11.15;-;10.87;11.05;11.07;9.71;-;9.74;-;9.31;-;14.34;-;-;-;-;-;-;03/04/2023;Grandes Empresas
     Préstamos de 31 a 90 días;10.40;13.00;10.99;11.14;11.12;10.20;-;11.83;-;10.40;-;14.30;-;-;11.91;s.i.;s.i.;-;03/04/2023;Grandes Empresas
     Préstamos de 91 a 180 días;11.04;12.83;10.92;11.01;11.42;10.48;11.31;10.36;-;10.68;-;13.66;-;-;-;-;-;-;03/04/2023;Grandes Empresas
     Préstamos de 181 a 360 días;10.60;-;10.20;13.43;10.84;8.59;-;8.70;-;12.40;-;13.30;-;-;-;s.i.;s.i.;-;03/04/2023;Grandes Empresas
     Préstamos a más de 360 días;10.99;-;11.04;11.73;11.37;10.76;-;13.99;-;10.90;-;10.16;-;-;-;-;-;-;03/04/2023;Grandes Empresas
     Descuentos;15.35;13.97;15.09;13.22;12.27;12.97;-;12.01;-;-;-;12.79;-;-;-;-;-;-;03/04/2023;Medianas Empresas
     Préstamos hasta 30 días;16.62;13.54;14.82;13.80;14.02;13.95;-;12.41;-;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Medianas Empresas
     Préstamos de 31 a 90 días;13.83;12.60;13.57;11.27;12.30;13.28;11.18;13.23;24.20;18.13;-;-;-;-;-;-;-;-;03/04/2023;Medianas Empresas
     Préstamos de 91 a 180 días;14.54;13.01;13.93;13.70;13.49;12.80;-;11.45;26.68;12.53;-;13.32;-;-;-;s.i.;s.i.;-;03/04/2023;Medianas Empresas
     Préstamos de 181 a 360 días;14.30;13.50;12.21;11.81;15.28;13.38;-;12.03;19.61;10.60;-;-;-;-;-;-;-;-;03/04/2023;Medianas Empresas
     Préstamos a más de 360 días;16.21;13.05;17.02;8.50;11.14;14.21;-;20.95;17.69;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Medianas Empresas
     Descuentos;20.26;-;18.07;-;15.40;17.02;-;13.05;-;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Pequeñas Empresas
     Préstamos hasta 30 días;21.62;-;16.67;-;-;17.72;-;12.10;45.29;-;-;-;-;-;-;-;-;-;03/04/2023;Pequeñas Empresas
     Préstamos de 31 a 90 días;20.71;-;14.72;-;14.74;14.26;-;-;40.57;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Pequeñas Empresas
     Préstamos de 91 a 180 días;21.10;-;15.65;-;12.15;13.75;-;13.28;34.83;-;-;-;-;-;-;-;-;-;03/04/2023;Pequeñas Empresas
     Préstamos de 181 a 360 días;20.53;12.75;19.09;11.60;13.90;17.15;-;29.83;31.85;-;28.00;-;-;-;-;s.i.;s.i.;-;03/04/2023;Pequeñas Empresas
     Préstamos a más de 360 días;21.01;-;22.31;33.00;11.64;17.10;-;24.10;24.43;-;25.22;-;-;-;-;-;-;-;03/04/2023;Pequeñas Empresas
     Tarjetas de Crédito;34.28;-;31.20;26.10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;03/04/2023;Microempresas
     Descuentos;-;-;19.22;-;-;-;-;-;-;-;-;-;-;-;-;s.i.;s.i.;-;03/04/2023;Microempresas
     Préstamos Revolventes;14.23;-;-;-;10.58;-;-;-;45.47;-;-;-;-;-;-;-;-;-;03/04/2023;Microempresas
